Package Name,Package Version,Code Coverage,CVE Analysis Safety,Static Code Analysis Status,Dynamic Program Analysis Status
abseil-cpp,20211102.0+git0+7c6608d0db,82,5,74,80
abseil-cpp-dev,20211102.0+git0+7c6608d0db,44,33,59,0
acl,2.3.1,79,85,92,57
acl-dev,2.3.1,100,26,55,76
acl-ptest,2.3.1,80,45,14,98
agl-compositor,0.0.22+git6+e3f8379e48,77,61,82,1
agl-compositor-dev,0.0.22+git6+e3f8379e48,44,80,40,45
agl-compositor-init,1.0,96,86,32,44
agl-compositor-init-dev,1.0,53,94,4,76
agl-service-audiomixer,2.0+git96+0ff3ef1b25,90,100,5,83
agl-service-audiomixer-dev,2.0+git96+0ff3ef1b25,89,90,20,27
agl-service-hvac,2.0+git69+1f55937667,75,74,69,97
agl-service-hvac-dev,2.0+git69+1f55937667,82,80,72,40
agl-service-radio,2.0+git17+8cccb6e90a,13,28,52,98
agl-service-radio-dev,2.0+git17+8cccb6e90a,59,44,60,95
agl-shell-grpc-server,0.0.22+git6+e3f8379e48,5,37,7,12
agl-users,1.0,98,99,11,72
agl-users-dev,1.0,72,10,58,45
agl-vss-helper,1.0,79,0,77,49
agl-vss-helper-dev,1.0,76,5,67,3
alsa-conf,1.2.6.1,27,28,71,99
alsa-state,0.2.0,12,80,2,7
alsa-state-dev,0.2.0,30,24,26,87
alsa-states,0.2.0,15,20,61,88
alsa-topology-conf,1.2.5.1,22,3,33,69
alsa-ucm-conf,1.2.6.3,90,61,68,19
alsa-utils,1.2.6,63,65,4,44
alsa-utils-aconnect,1.2.6,34,62,51,8
alsa-utils-alsactl,1.2.6,50,68,69,67
alsa-utils-alsaloop,1.2.6,25,28,88,87
alsa-utils-alsamixer,1.2.6,81,7,1,34
alsa-utils-alsatplg,1.2.6,79,70,36,7
alsa-utils-alsaucm,1.2.6,42,13,19,33
alsa-utils-amixer,1.2.6,77,21,0,31
alsa-utils-aplay,1.2.6,55,48,2,97
alsa-utils-aseqdump,1.2.6,87,96,48,49
alsa-utils-aseqnet,1.2.6,38,81,97,85
alsa-utils-dev,1.2.6,92,59,55,60
alsa-utils-iecset,1.2.6,48,27,90,59
alsa-utils-midi,1.2.6,98,26,33,25
alsa-utils-speakertest,1.2.6,18,14,83,10
applaunchd,2.0+git0+c32fe42f40,62,52,53,70
applaunchd-dev,2.0+git0+c32fe42f40,2,57,27,71
applaunchd-template-agl-app,2.0+git0+c32fe42f40,41,68,47,1
attr,2.5.1,44,85,54,58
attr-dev,2.5.1,44,19,48,90
attr-ptest,2.5.1,48,88,65,79
audit,3.0.8,97,82,99,29
audit-dev,3.0.8,16,15,6,15
auditd,3.0.8,43,29,98,36
avahi-daemon,0.8,49,45,34,5
avahi-dev,0.8,29,37,79,26
babeltrace,1.5.11,55,68,32,16
babeltrace-dev,1.5.11,97,43,20,40
babeltrace-ptest,1.5.11,56,47,95,98
babeltrace2,2.0.5,64,89,78,33
babeltrace2-dev,2.0.5,18,64,81,74
babeltrace2-ptest,2.0.5,62,75,83,66
base-files,3.0.14,90,62,85,68
base-files-dev,3.0.14,6,8,39,0
base-passwd,3.5.29,65,18,42,32
base-passwd-dev,3.5.29,31,86,90,14
bash,5.1.16,11,12,68,54
bash-completion,2.11,59,97,83,59
bash-completion-dev,2.11,46,65,99,49
bash-dev,5.1.16,4,75,1,71
bash-ptest,5.1.16,96,10,56,57
bc,1.07.1,41,1,85,94
bc-dev,1.07.1,63,69,60,90
binutils,2.38,93,25,47,92
binutils-dev,2.38,73,2,91,94
